Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RGB_SL.PrjPcb|ReportField=ProjectFullPath~D:\Work\Altium\My Projects\RGB_SL\RGB_SL.PrjPcb|ReportField=Title~Bill of Materials For Variant [No DIPs] of Project [RGB_SL.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~33|ReportField=ReportTime~2:30:49 PM|ReportField=ReportDate~11/11/2019|ReportField=ReportDateTime~11/11/2019 2:30:49 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~No DIPs|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/11/2019|ReportField=CurrentTime~2:28:59 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Work\Altium\My Projects\RGB_SL\RGB_SL.SchDoc|ReportField=DocumentName~RGB_SL.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/15/2019|ReportField=Organization~|ReportField=ProjectName~RGB_SL.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~RGB_SL.PrjPcb|ReportField=DataSourceFullPath~D:\Work\Altium\My Projects\RGB_SL\RGB_SL.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|1206|Capacitors|CAP TANT 10UF 6.3V 10% 1206|CAP MP3216X16M|293D106X96R3A2TE3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3D293D106X96R3A2TE3%26seller%3DDigi-Key%26sku%3D718-1126-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Sprague{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3D293D106X96R3A2TE3%26seller%3DDigi-Key%26sku%3D718-1126-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}293D106X96R3A2TE3{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Sprague%26mpn%3D293D106X96R3A2TE3%26seller%3DDigi-Key%26sku%3D718-1126-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}718-1126-1-ND{URL.TIP}Supplier|50705|0.3|0.3
2|0805|Capasitors|Ceramic Cap 0.1uF 50 V 10% MLCC - SMD/SMT|0805 Ceramic Capacitor|VJ0805Y104KXAAT|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0805Y104KXAAT%26seller%3DDigi-Key%26sku%3D720-1383-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Vitramon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0805Y104KXAAT%26seller%3DDigi-Key%26sku%3D720-1383-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}VJ0805Y104KXAAT{URL.TIP}Manufacturer|4|Digi-Key|USD|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0805Y104KXAAT%26seller%3DDigi-Key%26sku%3D720-1383-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}720-1383-1-ND{URL.TIP}Supplier|147010|1.36|0.34
3|0805|Capasitors|Ceramic Cap 22 pF 50 V ±5 % Tolerance C0G/NP0 SMT Multilayer|0805 Ceramic Capacitor|VJ0805A220JXACW1BC|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DVJ0805A220JXACW1BC%26seller%3DDigi-Key%26sku%3D720-1601-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DVJ0805A220JXACW1BC%26seller%3DDigi-Key%26sku%3D720-1601-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}VJ0805A220JXACW1BC{URL.TIP}Manufacturer|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DVJ0805A220JXACW1BC%26seller%3DDigi-Key%26sku%3D720-1601-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}720-1601-1-ND{URL.TIP}Supplier|6693|0.38|0.19
4|HC-49/US|Crystals|CRYSTAL 16.0000MHZ 20PF SMD|Crystal|ECS-160-20-5PX-TR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DECS%2520International%26mpn%3DECS-160-20-5PX-TR%26seller%3DDigi-Key%26sku%3DXC1282CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ECS%20International{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DECS%2520International%26mpn%3DECS-160-20-5PX-TR%26seller%3DDigi-Key%26sku%3DXC1282CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ECS-160-20-5PX-TR{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DECS%2520International%26mpn%3DECS-160-20-5PX-TR%26seller%3DDigi-Key%26sku%3DXC1282CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}XC1282CT-ND{URL.TIP}Supplier|7779|0.3|0.3
5|CASE 403D SMA|Diodes|DIODE SCHOTTKY 10V 2A SMA|DIOM4326X22M|MBRA210LT3G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DMBRA210LT3G%26seller%3DDigi-Key%26sku%3DMBRA210LT3GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DMBRA210LT3G%26seller%3DDigi-Key%26sku%3DMBRA210LT3GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MBRA210LT3G{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DMBRA210LT3G%26seller%3DDigi-Key%26sku%3DMBRA210LT3GOSCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MBRA210LT3GOSCT-ND{URL.TIP}Supplier|20850|0.48|0.48
6|TQFP|Integrated Circuits|IC MCU 8BIT 32KB FLASH 32TQFP|TQFP80P900X900X120-32M|ATMEGA328P-AUR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA328P-AUR%26seller%3DDigi-Key%26sku%3DATMEGA328P-AURCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA328P-AUR%26seller%3DDigi-Key%26sku%3DATMEGA328P-AURCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ATMEGA328P-AUR{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATMEGA328P-AUR%26seller%3DDigi-Key%26sku%3DATMEGA328P-AURCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ATMEGA328P-AURCT-ND{URL.TIP}Supplier|12352|2.08|2.08
7|TO-220AB|MOSFETs|MOSFET P-Ch LL FET Enhancement Mode|DPAK254P1524X483-3M|NDP6020P|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DNDP6020P%26seller%3DDigi-Key%26sku%3DNDP6020P-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor%20%2F%20Fairchild{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DNDP6020P%26seller%3DDigi-Key%26sku%3DNDP6020P-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NDP6020P{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DNDP6020P%26seller%3DDigi-Key%26sku%3DNDP6020P-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}NDP6020P-ND{URL.TIP}Supplier|4111|1.73|1.73
8||NTC Thermistors|THERMISTOR 100K OHM 5% BEAD|THERMISTOR|MF52A1104J3950|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCanadian%2520Thermostats%26mpn%3DMF52A1104J3950%26seller%3DDigi-Key%26sku%3D317-1264-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Canadian%20Thermostats{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCanadian%2520Thermostats%26mpn%3DMF52A1104J3950%26seller%3DDigi-Key%26sku%3D317-1264-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MF52A1104J3950{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCanadian%2520Thermostats%26mpn%3DMF52A1104J3950%26seller%3DDigi-Key%26sku%3D317-1264-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}317-1264-ND{URL.TIP}Supplier|2582|0.43|0.43
9|0805|Optoelectronics|LED GREEN DIFFUSED 0805 SMD|Led G|CMD17-21VGD/TR8|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVCC%2520CHML%26mpn%3DCMD17-21VGD%252FTR8%26seller%3DDigi-Key%26sku%3DL62505CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}VCC%20CHML{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVCC%2520CHML%26mpn%3DCMD17-21VGD%252FTR8%26seller%3DDigi-Key%26sku%3DL62505CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CMD17-21VGD%2FTR8{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVCC%2520CHML%26mpn%3DCMD17-21VGD%252FTR8%26seller%3DDigi-Key%26sku%3DL62505CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}L62505CT-ND{URL.TIP}Supplier|7535|0.49|0.49
10|0805|Resistors|RES SMD 100K Ohm 1% 0.2W(1/5W) ±25ppm/C Sulfur Resistant Conformal Coated Pad SMD Automotive Medical T/R|0805 Res|TNPW0805100KFEEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DTNPW0805100KFEEA%26seller%3DDigi-Key%26sku%3D541-3912-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DTNPW0805100KFEEA%26seller%3DDigi-Key%26sku%3D541-3912-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TNPW0805100KFEEA{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DTNPW0805100KFEEA%26seller%3DDigi-Key%26sku%3D541-3912-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-3912-1-ND{URL.TIP}Supplier|5327|0.42|0.42
